id,name,description
1,SSO Integration,"Implement SAML-based single sign-on for enterprise customers. Multiple large deals are blocked until SSO is available. Target: Q2 compliance deadline."
2,Dashboard Redesign,"Redesign the analytics dashboard with new charting library. Users complain current charts are slow and hard to read. No hard deadline."
3,API Rate Limiting,"Add per-tenant rate limiting to the public API. We've had two outages this quarter from runaway integrations. Urgent reliability concern."
4,Mobile Push Notifications,"Add push notification support for the mobile app. Marketing wants it for the summer campaign launch in July."
5,Database Migration to Postgres,"Migrate from MySQL to PostgreSQL to support JSON querying and better scaling. Large effort with many dependencies but reduces long-term tech debt significantly."
6,Onboarding Wizard,"Build a step-by-step onboarding flow for new users. Activation rate is 34%, well below the 50% target. Product leadership priority."
7,Bulk CSV Export,"Allow users to export up to 100k rows as CSV. Frequent support ticket — about 20 per month. Small isolated change."
8,Audit Log,"Add immutable audit logging for all data mutations. Required for SOC 2 certification by end of Q3."
9,Dark Mode,"Add dark mode theme toggle to the web app. Most-upvoted feature request on the community board. Purely cosmetic."
10,Webhook Retry Logic,"Implement exponential backoff and dead-letter queue for failed webhook deliveries. Current failure rate is 8% with no retry, causing data loss for integrators."
